section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_mygarage
Bentley,Continental GT First drives,post-864932,"Nov 28, 2017",slicknick,"Wow, sounds like music to my ears, can't wait till we get to see some video reviews on YT",#4,post: 864901,NA,Male,NA,"3,283","3,865",
Ferrari,Ferrari Roma (2020 -,post-953479,"Nov 13, 2019",A.P.,"It feels like Portofino came out yesterday and now they are replacing it with this. I like it a lot though, but it looks more like an Aston Martin than a Ferrari.",#13,,NO,Male,NA,"1,640","1,900",
Ferrari,Ferrari Roma (2020 -,post-953473,"Nov 13, 2019",empower77,This is interesting. Very very interesting. I assume this is the entity level offering?,#9,,NA,Male,NA,"1,073",979,"2014 X535i xDrive,2011 VW Jetta 2.5SE,2007 335i sport coupe"
Aston Martin,Aston Martin Zagato concept revealed,post-518615,"May 26, 2011",330CIZHP,"[image no longer available],[image no longer available],[image no longer available]",#9,,NA,Male,NA,"2,447","1,554",BMW 330 CI ZHP 6 speed manual
Jaguar / Land Rover,Jaguar XE SV Project 8 - 592bhp super saloon,post-1237852,Monday at 4:55 AM,Jonathan19,This look gorgerous without the wing (Touring version).,#26,,France,Male,NA,271,543,
Ferrari,Ferrari 360/CS Picture Thread,post-341936,"Oct 31, 2008",mc_blue,"That grey CS is something else, my favourite 360 syle by far!",#19,,NA,NA,NA,529,86,
Ferrari,Ferrari 360/CS Picture Thread,post-341758,"Oct 30, 2008",modena_360stradale,Spotted by '4REBlake' in Florida:,#17,,NA,NA,NA,867,"1,147",
Aston Martin,Aston Martin at Pebble Beach,post-707442,"Aug 10, 2014",bigshineybike,"Rather like the 911 which has far outlasted the VHM structure?,It is largely held opinion that most AM owners have several more than one other car.,These sanctioned custom jobs are a cut above the usual industrial estate specials and I think they ill have their place in the lineage of these great cars.",#6,,Surrey,NA,project manager engineering,1,0,"300d multivalve W124 estate.,Golf 1.6se,Triumph T509speed triple,Montesa Cota 348,MG midgets"
Bentley,1954 Bentley Continental R-Type,post-599768,"Sep 21, 2012",chris earl,im working on a 1954 bentley r-type and was wondering how i would go about bleeding the front brakes,#3,,NA,Male,NA,2,0,
Bentley,1954 Bentley Continental R-Type,post-602901,"Oct 10, 2012",Mr Robert,"Hey Chris E, have you had any luck with that Bent?",#4,,Sweden,Male,Lawyer,"10,963","4,339","2010 BMW E91 320d,2012 Mercedes 220d C-class"
Bentley,1954 Bentley Continental R-Type,post-280730,"Feb 27, 2008",hussein,sweet ride i kinda like bently,#2,,BELL CALIFORNIA,NA,you mean my future job = I DUNNO GOOD QUESTION THO,178,37,ill  get in the future a all new audi rs4
Bentley,Bentley Continental GT3 Concept: 2012 Paris Auto Show,post-600789,"Sep 26, 2012",HighestOfHigh,-,#1,,DC,Male,NA,"9,364","5,052",
Ferrari,Ferrari 360/CS Picture Thread,post-390228,"Jun 18, 2009",mmm900,"Found this on another board hope it's ok to post but i can;t stop drooling over this CS!,Photoshoot: Carrara White 360CS - Teamspeed.com",#21,,NA,NA,NA,25,0,
Bentley,Bentley EXP 9 F  Concept,post-567606,"Mar 5, 2012",tristatez28lt1,,#15,,Los Angeles,Male,NA,"6,182","9,534",
Bentley,Bentley EXP 9 F  Concept,post-567473,"Mar 5, 2012",mini_cooper4,"Is this for real ??,Talk about ugly fronts and this is the KING !!!!,What a stunning interior,Geez how can they ruin the front soooo much...",#9,,NA,Male,NA,"5,636","2,638",Sold: BMW 1M 2011 and X5 3.0d 2007 Black/Black Leather * BMW M5 2007 SMG White/Black Leather and BMW 730d 2003 Beige/Beige Leather * Stolen: BMW 318d 2008 Sparkling Graphite/ Beige
Bentley,Bentley EXP 9 F  Concept,post-567481,"Mar 5, 2012",wookieecrisp,"Oh dear... it looks like a Subaru and a Continental GT have decided to mate...,Which would make it beautiful",#10,post: 567417,Where climate means 4MATIC is necessary,NA,NA,318,165,
