section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_birthday,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_car,user_about,user_member_type
Global,First Drive: 2009 Maserati GranTurismo S Automatic,post-969999,"Apr 5, 2020",mihc,"The sound of this car, especially in 4.7L engine version is sensational...",#7,,August 1,NA,Male,NA,"5,351","14,163",,,Supporter
Global,2022 All-new Maserati Granturismo,post-1171254,"Oct 3, 2022",Special,"What should i say? The car is just gorgeous, i think its a nice combo between modern and classic.",#31,,,Munich,NA,NA,313,826,"7er,7er",,NA
Global,2022 All-new Maserati Granturismo,post-1171473,"Oct 4, 2022",Battista,"So the triple electric motored Maserati Folgore doesn't actually have ""1200hp"" because that's the system output and because of battery size and output but has dropped to ""around 750hp"" at the wheels? Compare that to the triple electric motored rivals. Smh.,I know it as not all about outright power, but at this price point, well to a degree it is.",#48,,NA,NA,NA,NA,"4,167","4,782",,"""But you merely adopted the dark. I was born in it, moulded by it.""",Premium Supporter
Global,2018 Maserati GranTurismo,post-961131,"Jan 30, 2020",LaVitaEBella,I love the reflection that the car made.,#64,,October 7,"Florida City, FL, USA",NA,NA,67,42,,,NA
Global,Maserati Quattroporte Facelift,post-973852,"May 8, 2020",chonkoa,"Holy cow! My brain is spinning out of control.,Please can you provide the link?",#44,post: 973824,,Houston & Calgary,NA,Engineer,"3,942","2,267","X5 4.8i/X6 50i,Chevy Sliverado,2004 Honda Accord, 2005 Toyota RAV4, 2006 330i,2010 Chevy Silverado,BMW CS(I am waiting BMW)","Golf, Car racing,Football: Arsenal FC fan",NA
Global,2022 All-new Maserati Granturismo,post-1189119,"Dec 5, 2022",duesy,The design is hot garbage. Pity.,#78,,NA,NA,NA,NA,508,710,,,NA
Global,2022 All-new Maserati Granturismo,post-1188875,"Dec 4, 2022",kiki voinea,"Jeez , Maserati looks like complete newbies.,I understand some companies that try not to show a lot of a car that comes in the near future , to NOT cannibalize other models that outcome.,But WHAT models? Maserati does not have any EV , or a huge portofolio of cars,  and GranTurismo Folgore is a new breed.,Just show the damn interior. So that maybe potential clients will wait for it instead of going for alternatives.",#75,,NA,NA,Male,NA,"1,106","1,323",,"Present: W222  ; Past: C207 , W176 , W251",NA
Global,EVO: Maserati Quattroporte Sport GT S,post-269229,"Jan 18, 2008",Guibo,"Wonder what this looks like. Does this mean they've cast the brake disc and the hub carrier as a single piece? That doesn't sound quite right.  Brake disc dual-cast with the brake hat, maybe.",#2,,NA,NA,NA,NA,"2,031","1,652",,,NA
Global,2022 All-new Maserati Granturismo,post-1199223,"Jan 22, 2023",empower77,"It’s not that great. Being a Macan competitor by price, it leaves a lot to be desired. I was invited to its launch party last  summer and came away very disappointed. Materials and touch points are horrible. I don’t know if those were pre production models.",#100,post: 1171471,July 21,NA,Male,NA,"1,080",985,"2014 X535i xDrive,2011 VW Jetta 2.5SE,2007 335i sport coupe,2000 VW Jetta",,NA
Global,2022 All-new Maserati Granturismo,post-1194747,"Jan 3, 2023",Human,"Cohesive design. Tight lines. Tastes Good,First Maserati I have honestly truly ever liked.",#88,,"Jan 7, 1976
										
											(Age: 47)",Republic of South-Africa,Male,Co-owner NASPAQ,"6,128","3,357","Ford Ranger Raptor,C180 Kompressor,BMW 325ci  E46,BMW 120i,BMW X5 3.0d E53,BMW X5 4.4i E53,BMW X6 X-Drive 50i,BMW X6 ///M,BMW X1 23d,Ford Wildtrak,BMW 6 Series GC","German cars,American trucks,G-class,"" THAT POWERFUL PRESENCE SO CHARACTERISTIC OF A BMW """,NA
Global,EVO: Maserati Quattroporte Sport GT S,post-269204,"Jan 17, 2008",Bartek S.,"This is the most driver-orientated Quattroporte yet, but the visual clues are restrained. This is a good thing. Subtle yet imposing, elegant yet athletic, Maserati’s saloon is one of those cars that deserves to live its life unmolested by the revisionist stylist’s pen. That said, other areas have offered scope for improvement and, happily, it’s these that the Sport GT S addresses.,We tried Maserati’s first stab at a sportier Quattroporte, the Sport GT, back in issue 092 and concluded that ‘Skyhook’ adaptive damping doesn’t combine well with 20in wheels and lower profile tyres. It’s absent on the Sport GT S, replaced by conventional, single-rate Bilstein dampers, but the 20s remain – now with even wider, 295-section rear tyres – and are combined with shorter and stiffer springs that lower the car by 10mm at the front and 25mm at the rear. Visually the set-up works a treat, especially in combination with the black-chrome side-window surrounds and tailpipes, body-colour door handles and smoke-chrome alloys.,You’d think the GT S would be perfectly suited to the ‘DuoSelect’ paddle-shift automated manual gearbox, but Maserati knows which way the wind is blowing. It finally gave the Quattroporte a proper automatic gearbox early in 2007 (evo 103), and this, exclusively, is what the GT S comes with. In less than a year the conventional ZF six-speed auto has marginalised DuoSelect – currently more than 70 per cent of Quattroporte buyers specify the ZF, and that figure is still rising. Maserati predicts that next year only one in five Quattroportes will be DuoSelects.,The final dynamic element of the GT S package is new Brembo front brakes with six-piston callipers (up from four) and 360mm diameter discs that weigh the same as the previous 330mm items, something that has been achieved by having a cast iron disc ‘dual-cast’ with a hub carrier of aluminium alloy – a first for a road car.,Given that the Sport GT S is lower and has 25 per cent stiffer springs, the expectation is that the ride will feel a little resilient around town, yet this isn’t the case. Yes, there’s firm wheel control, but never to the point of harshness. The further you drive, the more impressive it is, the GT S feeling taut and alert for a car of its size but with just the right degree of suppleness too.,Inside it’s as welcoming and stylish as ever, this interpretation of the theme defined by carbonfibre fillets and Alcantara for the steering-wheel, gear selector and the centres of the ‘sportier’ seats, which still feel a size too big for sub-plutocrats.,As we’ve reported before, the auto ’box makes city work the doddle it always ought to have been and responds keenly to downshift demands via the throttle or the tactile paddles (standard on the GT S). In its programming it’s perhaps not as intuitive as the ZF in the Jaguar XK, and in this sporty setting it would be good if opting for manual selection via the paddles meant you got only that, so you could find the limiter at the red line rather than an upshift.,With 339lb ft and 396bhp up against almost 2000kg, it’s a quick car but not strikingly so. You really want a bit more grunt, too, not so much to deal more decisively with turbodiesels on the autostrada but to more fully exploit the chassis on a twisty road.,The steering feels a fraction light about the straight-ahead, requiring a bit more concentration at motorway speeds than expected, but guiding the Quattroporte into inviting corners it feels nicely weighty, smooth and direct. Indeed, there’s a satisfying poise and quality to the GT S’s demeanour, a consistency that encourages you to press on. A little more steering feel would be welcome, but when you do find a corner where you can push really hard, the GT S slips gently through cautioning mild understeer into progressive, catchable and gatherable oversteer.,It would have been great to have had the opportunity to interrogate the chassis more fully, and get the new brakes up to temperature, but the test route (alongside Lake Garda – beautiful, but slow) didn’t allow it. Even so, I’m pretty confident that for the keener driver, the Sport GT S offers the best Quattroporte chassis yet, a set-up that doesn’t so much trade comfort for precision as offer big, satisfying chunks of both. More than ever, what Maserati needs now is a bigger, brawnier version of the characterful V8, or maybe a compact V12…",#1,,,"Montreal, Canada",Male,Veterinarian,"8,433","8,864","2019 M640 GT, 2020 440ix cabrio, 2019 Ford 250, e-Golf,2008 M5,Mercedes ONE, Taycan turbo S","Married, 4 kids,,Motorsport, horses,M -No more the most powerful letter in the world",NA
Global,2022 All-new Maserati Granturismo,post-1199348,"Jan 22, 2023",Gor134,"That interior is GLORIOUS, good job Maserati. I just wish the front end of the car had more aggressive headlights, and this would be perfect!,As a modern GT car, this is a VERY STRONG 2nd fav for me right behind the LC500. The beautiful door panels also remind me a bit of the LC500.",#107,,NA,NA,NA,NA,446,616,"2013 Audi Allroad,Audi RS6 Avant (C8), Porsche 911 Carrera/S/GTS (991.1), Toyota Crown",,NA
Global,Maserati Spyder will have folding roof,post-207919,"Jul 13, 2007",Mr. M,"Damn, it's going to be a porker of a car. It's heavy as it is now.",#2,,October 20,London/Singapore,NA,Student,"6,814","2,313","Subaru Impreza S204,Miata NA MX-5,VW Mk2 GTI 8v,MkV GTI,MR2 SW20 NA Rev3,Clio 200 Cup,Porsche 911 GT3 RS 4.0",,NA
Global,Automatic Maserati Quattroporte unveiled: Details,post-124179,"Dec 7, 2006",Bruce,"New stuff on the Automatic Quattroporte,[image no longer available]",#10,,September 9,NA,NA,NA,"11,609","5,020","Pagani Zonda F, Porsche Carrera GT, Honda NSX, Lotus Esprit V8 Turbo, Nissan GT-R, Porsche 993 Turbo",--- Find the conspiracy in everything,NA
Global,Automatic Maserati Quattroporte unveiled: Details,post-110897,"Nov 7, 2006",PanterroR,,#6,,May 14,Croatia,Male,NA,"21,939","14,192","2021 BMW M5 Competition,2019 BMW M550d,BMW E39 523iA,BMW E60 530d,BMW E60 535d,BMW E60 550i,BMW F10 550i,Pagani Zonda Cinque","Grown into a monster.,An arrogant, explosive motherf#ck.,The releasing of anger can better any medicine under the sun...",NA
Global,Automatic Maserati Quattroporte unveiled: Details,post-110857,"Nov 7, 2006",Germaniac,"Can only attempt to answer this, I'm not exactly sure who ZF is (other than a gearbox manufacturer, I think from Germany), but they provide gearboxes for many many top European car manufacturers... Aston Martin, Jaguar, Land Rover, BMW, Rolls Royce, Audi and Bentley amongst others  - it's the 6-speed Automatic all the magazines rave about... debuted on the E65 7 series.",#4,,,"Melbourne, Australia",NA,NA,360,160,,,NA
Global,2022 All-new Maserati Granturismo,post-1217212,"Mar 27, 2023",Joll,,#161,,,"California, United States",Male,NA,87,395,,,NA
Global,2022 All-new Maserati Granturismo,post-1235145,"May 15, 2023",Jonathan19,GranTurismo Cabrio spy.,#177,,,France,Male,NA,600,"1,044",,Just a great car enthusiast who has good friends in the exceptional automotive industry!,Premium Supporter
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-97245,"Sep 28, 2006",mc_blue,Those seats and dash look superb.,#40,,"Jun 6, 1987
										
											(Age: 36)",NA,NA,NA,529,86,,,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-128505,"Dec 19, 2006",Choleric,"I'll take an MC12 anyday, that has to be one of my favorite supercars.",#48,,,Great Plains,NA,NA,"3,764","1,770","A4,Audi 90 S,S8",,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-128352,"Dec 19, 2006",Deutsch,"At one point Audi and Maserati were collaborating, then finances tanked, and Audi wanting to keep it's hands clean, cut their ties. Now imagine what such a joint venture could have done for Maserti interiors??? Especially the Quattroporte , which has an Audi gauge cluster(the one you find in the A8).",#46,,,L.A.,NA,F1pilot,"6,522","1,194",,,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-96336,"Sep 25, 2006",dOmInIX,Seems like a new Maerati GT will be inspired by older classic Maseratis:,#38,,,Croatia,NA,NA,"3,310","1,045",,,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-67438,"May 25, 2006",MoSs,"i never really pay so much attention to maseraties, but some really look good in these pictures .",#24,,"Jun 11, 1986
										
											(Age: 37)","Bell California , USA",Male,student,"2,215",844,"2012 991 911 Carrera S,997.2 model,GT3",Audi S5 - Drives Like It Looks,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-67436,"May 25, 2006",SDNR,"You really are a Maserati fan aren't you Marcus.,To me, they are nice cars ...but I just can't get excited about them.",#23,,NA,NA,Male,NA,"10,207","4,192",,,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-67752,"May 26, 2006",LaArtist,the thing with that car is that its more or less a enzo in drag ( and an ugly drag at that).. and it doesent bring much new to the table..,#27,,,Unknown,Male,Aviator,"31,278","19,116","W124,971 Porsche Panamera E-hybrid,E- Golf,W220,W123,W212,Pagani Huayra/Zonda",Tig ol bitties,NA
Global,Automatic Maserati Quattroporte unveiled: Details,post-104163,"Oct 20, 2006",PC Valkyrie,The biggest thing is the availabilty of a 6 speed automatic transmission. This does suit the car better for most people who won't drive on a race track.  Almost every review I've read or seen about the Quattroporte complains about the horrible sequential gearbox when driving the car on everday roads at slow or moderate speeds.,#2,,,Canada,NA,husband and dad and MD,"1,093",973,German cars,"home audio/video and car fan,2005 C55 AMG (aka ""The Beast"").....2008 135i M Sport (aka ""The One""),2014 911 GT3 (aka ""The Flash"").....2017 AMG GLE43 (aka ""The Glee"")",NA
Global,2022 All-new Maserati Granturismo,post-1209362,"Mar 3, 2023",KiwiRob,Unless you're Harry Metcalf or Top Gear how many people are really going to take there GT on long distance drives?? The people who can afford these are more likely flying.,#158,post: 1205248,,Norway,Male,NA,"4,910","3,522","Audi A6 Avant 2.0 TDI quattro Black Edition,Audi A1 Sportback 1.4 TFSi SLine,Audi A1 1,4 TFSi S-Line,Audi A6 2.0 TDI S-Line,VW Touran 2.0 TDi Highline,Volvo V70 2.4D R Design,MINI Countryman Cooper D,MINI Clubman Cooper D,BMW 318D Touring Msport,Mercedes C200 CDi Touring,VW Golf 1.6FSi Sportline,Toyota MR2 GT,Morgan Aero",,NA
Global,"Don't care what you Germancar fanatics say, Maseratis are gorgeous!",post-54544,"Apr 6, 2006",Kleemann_SL,Mmmmmmmmmmmmme dont like.,#21,,NA,NA,NA,NA,493,1,,,NA
Global,Maserati Gransport,post-65430,"May 17, 2006",MikeJ,"I like the car a lot, even though I miss the boomerang rear lights from the old 3200 as well...,I have to say the person who specced that interior must have very unusual taste, it's either that or the color/material combo looks better in real life... which I doubt.",#8,,"Jun 19, 1978
										
											(Age: 45)","Oulu, Finland",NA,"Accountant, translator","3,242","1,827","Skoda Octavia vRS,Skoda Fabia Combi Sport,Saab 9-3","I'm a lot of things.,Don't ask the world to change - you change first.",NA
