section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_birthday,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_car,user_about,user_member_type
Toyota,"Toyota to recall 533,000 SUVs, trucks",post-141634,"Jan 19, 2007",cawimmer430,,#3,,"Jul 31, 1982
										
											(Age: 40)","Munich, Germany",NA,"Photographer, Graphic Designer","14,816","13,252","'07 BMW 118i,1936 Mercedes-Benz 500K Spezial Roadster","Mercedes-Benz, Photoshop (Digital Imaging), Reading, Dogs, Athletics, Sleeping, Drawing &amp; Eating!!!,CHRISTIAN WIMMER,WIMMERFOTOGRAFIE.de | www.facebook.com/wimmerfotografie | IG: wimmerfotografie",NA
Mercedes-Benz,Mercedes-Benz GLA-Class (H247),post-979602,"Jun 12, 2020",Centurion,"I wouldn't set foot in a Mercedes dealership if I was in the market for an SUV. The sales people won't let you leave the showroom without one to your name.,The brand has sick SUV lineup that basically covers all needs, budgets and segments from the GLA to the G-Class.",#57,,,London,NA,NA,"32,744","20,442",,,NA
Toyota,"Toyota recalls 160,000 Prius hybrids due to software glitch",post-4804,"Oct 14, 2005",EnI,Source:,#1,,NA,NA,Male,NA,"14,030","12,867",,,NA
Toyota,Toyota ready for Number 1,post-12199,"Nov 5, 2005",emarati,"Man those Toyota people are good, it was just a matter of time for them.,Wheres Bozzor now.,Talking about Bozzor he was a great member in GCF, why dont u guys invite him here (if anyone has his contact info).",#2,,"Feb 20, 1983
										
											(Age: 40)",United Arab Emirates,NA,Civil Engineer,217,1,,,NA
Ford / Lincoln,New Ford Mondeo...,post-161995,"Mar 9, 2007",Monster,"It isn't stunning but it is a very nice looking car. Love the front, and the side view, but not the back. The rear end looks a bit flat and it ends too suddenly. I am not a fan of the interior design as well. It just doesn't have that premium look of other eurpoean cars. It has far too many buttons and odd shapes",#18,,"Aug 1, 1985
										
											(Age: 37)",Sydney,Male,Half arsed project engineer,"14,631","16,219",,"Cars, rock music, exercising, eating, sleeping, fixing things, a lot of swearing,Now officially an engineer",Staff member
Ford / Lincoln,New Ford Mondeo...,post-161957,"Mar 9, 2007",Mr. M,"I think it looks good too. Still would take a Passat though - it just has everything - DSG, supreme engine, quality and refinement. The Ford just looks good.",#17,,October 20,London/Singapore,NA,Student,"6,814","2,313","Subaru Impreza S204,Miata NA MX-5,VW Mk2 GTI 8v,MkV GTI,MR2 SW20 NA Rev3,Clio 200 Cup,Porsche 911 GT3 RS 4.0",,NA
Motorsports,2011 Spanish GP,post-518223,"May 24, 2011",Remy Zero,"No doubt this year has tonnes of passing, someone has to stop Vettel and RedBull.",#15,,,Malaysia,NA,HR Analyst,"3,087","4,369",,"Lifting weights,Never, Never, Never Give up...",NA
Motorsports,"Audi Wins Le Mans 2011, R18 TDI Withstands Huge Crashes",post-521235,"Jun 12, 2011",Tumbo,"Audis results the last years in Le Mans are mindblowing. 7 wins the last 6 years... WOW!!!,Respect!,I wonder why they dont go into F1?",#3,,"Jan 9, 1981
										
											(Age: 42)",Doha,Male,"Athlete, Music video director, Coach","7,753","3,859","Audi Q5 3.2 Quattro -10,Audi A4 Turbo (300hp) -01,* Audi A3 1.8T 214hp -01,* Audi A3 1.8T - 00,Audi SQ5, R8, S8, RS4 B7, RS5, S5, TT-RS","Audi/MB/VW/Lambo fan,(lived in Sweden for 20 years, born in Poland,Audi Q5 3.2 Quattro -10 Audi A4 Turbo 300hp -01",NA
Motorsports,"Audi Wins Le Mans 2011, R18 TDI Withstands Huge Crashes",post-521241,"Jun 12, 2011",wookieecrisp,"-,I think Audi's reasoning is very correct; as much as I love F1 as a sport, from the perspective of building road cars, it is nowhere near as valuable as Le Mans.",#4,"post: 521235,",May 21,Where climate means 4MATIC is necessary,NA,NA,318,165,,"Photography, Mercedes-Benz, Formula 1",NA
Motorsports,2011 Monaco GP,post-518955,"May 29, 2011",Zonda,"Lol, I haven't watched a single lap of racing this year and Lewis is still the same. I don't like Massa but that was a stupid move by Lewis.",#33,,October 25,Scania,Male,Murders & Executions,"5,959","1,408",,"Was born once, still waiting for death,Wild is the Wind",NA
